Date time, Open, High, Low, Close, MA9, MA26, MA52, MA104, RSI
2021.01.04 00:00:00,1.36504000,1.37037000,1.35418000,1.35680000,1.35161333,1.34358769,1.32897192,1.31510606,57.45095068
2021.01.05 00:00:00,1.35679000,1.36421000,1.35540000,1.36254000,1.35344222,1.34462115,1.32989500,1.31563923,59.96802743
2021.01.06 00:00:00,1.36252000,1.36711000,1.35385000,1.36078000,1.35621111,1.34577423,1.33090981,1.31617846,58.73904829
2021.01.07 00:00:00,1.36065000,1.36332000,1.35326000,1.35625000,1.35701222,1.34670154,1.33190750,1.31668798,55.85927199
2021.01.08 00:00:00,1.35626000,1.36356000,1.35380000,1.35606000,1.35731222,1.34724769,1.33295462,1.31716365,55.92593431
2021.01.11 00:00:00,1.35641000,1.35688000,1.34508000,1.35116000,1.35798444,1.34781346,1.33385769,1.31756875,52.38212942
2021.01.12 00:00:00,1.35112000,1.36700000,1.35040000,1.36626000,1.35978778,1.34862923,1.33516558,1.31810644,60.25289384
2021.01.13 00:00:00,1.36625000,1.37008000,1.36117000,1.36338000,1.35990000,1.34939615,1.33652750,1.31848740,58.35658551
2021.01.14 00:00:00,1.36352000,1.37110000,1.36160000,1.36862000,1.36020556,1.35057808,1.33794288,1.31905385,60.77202787
2021.01.15 00:00:00,1.36858000,1.36975000,1.35724000,1.35820000,1.36036111,1.35144154,1.33922481,1.31940875,54.30391449
2021.01.18 00:00:00,1.35905000,1.35987000,1.35196000,1.35852000,1.35991444,1.35214731,1.34023942,1.31988538,54.02440115
2021.01.19 00:00:00,1.35853000,1.36364000,1.35730000,1.36326000,1.36019000,1.35346154,1.34148327,1.32043356,56.37281102
2021.01.20 00:00:00,1.36291000,1.37186000,1.36234000,1.36504000,1.36116667,1.35508000,1.34245481,1.32091442,57.61139366
2021.01.21 00:00:00,1.36506000,1.37462000,1.36476000,1.37304000,1.36305333,1.35662462,1.34357462,1.32141635,61.78714536
2021.01.22 00:00:00,1.37311000,1.37357000,1.36356000,1.36822000,1.36494889,1.35748885,1.34457365,1.32188125,58.14651208
2021.01.25 00:00:00,1.36837000,1.37237000,1.36487000,1.36743000,1.36507889,1.35812923,1.34535269,1.32219192,57.46288597
2021.01.26 00:00:00,1.36744000,1.37441000,1.36099000,1.37359000,1.36621333,1.35871654,1.34634385,1.32254596,60.90085124
2021.01.27 00:00:00,1.37362000,1.37586000,1.36590000,1.36852000,1.36620222,1.35943808,1.34744154,1.32283702,56.85079543
2021.01.28 00:00:00,1.36856000,1.37455000,1.36301000,1.37181000,1.36771444,1.36042769,1.34844288,1.32319048,58.77781002
2021.01.29 00:00:00,1.37186000,1.37514000,1.36573000,1.36981000,1.36896889,1.36173346,1.34940769,1.32359240,57.46713750
2021.02.01 00:00:00,1.37040000,1.37579000,1.36564000,1.36601000,1.36927444,1.36238615,1.35020615,1.32396144,53.91702671
2021.02.02 00:00:00,1.36596000,1.37105000,1.36113000,1.36669000,1.36945778,1.36289885,1.35096769,1.32444702,54.43062154
2021.02.03 00:00:00,1.36668000,1.36831000,1.36193000,1.36435000,1.36849222,1.36363885,1.35170538,1.32508490,52.34863483
